Pentru cei care mananca orice/For those who can eat anything: ,Pentru vegetarieni/For vegetarians: ,Pentru flexitarieni/For flexitarians: 
Ziua 1/Day 1,Ziua 1/Day 1,Ziua 1/Day 1
supa crema de legume/vegetable cream soup,supa crema de dovleac/pumpkin cream soup,supa crema de dovleac/pumpkin cream soup
 piept de pui la gratar cu piure de cartofi/grilled chicken breast with mashed potatoes,tofu stir fry,tofu stir fry
papanasi/cheese dumplings,papanasi/cheese dumplings ,papanasi/cheese dumplings
Ziua 2/Day 2,Ziua 2/Day 2,Ziua 2/Day 2
ciorba de pui a la grec/chicken soup a la greek,supa de rosii/tomato soup,supa de rosii/tomato soup
chicken curry cu orez/chicken curry with rice,ratatouille,lasagna vegana/vegan lasagna
eclere/eclairs,placinta cu mere/apple pie,placinta cu dovleac/pumpkin pie
Ziua 3/Day 3,Ziua 3/Day 3,Ziua 3/Day 3
ciorba radauteana/sour chicken soup,supa crema de ciuperci/mushroom cream soup,supa crema de ciuperci/mushroom cream soup
lasagna,pizza vegetariana/vegetarian pizza,dorada in crusta de sare/sea bream in salt crust
cheesecake cu afine/blueberry cheesecake,prajitura cu morcov/carrot cake,negresa/brownies
